id;area;titulo;promesa;avance_total;coherencia;;;boletin;promesa con pl;titulo_proyecto;link;1° tramite;2°-3° tramite;aprobacion presidencial;promulgado;nombre avance;avance;simple;suma;inmediata;total_urgencias;marginal;parcial minima;parcial alto;total;escala de coherencia
139;Transporte y Telecomunicaciones;Perfeccionamiento del sistema de concesión radioeléctrico;;;;100%;3;7931-15;;Relativo al fortalecimiento de la rediodifusión regional y local.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8324&prmBoletin=7931-15;;;;1;Promulgado;1;;;;0;;;1;;3
140;Transporte y Telecomunicaciones;Portabilidad númerica;Se implementará la portabilidad del número telefónico, tanto para el servicio de telefonía local como para el servicio de telefonía móvil;100%;4;;;6964-15;1;Crea un Organismo Administrador para la Implementación de la portabilidad numérica.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7357&prmBoletin=6964-15;;;;1;Promulgado;1;;;;0;;;;1;4
141;Desarrollo Social;Eliminación del 7% de descuento a jubilados;Avanzaremos gradualmente y de manera focalizada en la reducción del descuento del 7% que se efectúa a los jubilados para su salud;100%;4;;;7570-11;1;Exime, total o parcialmente, de la obligación de cotizar para salud a los pensionados que se indica;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7958&prmBoletin=7570-11;;;;1;Promulgado;1;;;;0;;;;1;4
142;Desarrollo Social;Bono bodas de oro;Entregaremos el «Bono Bodas de Oro» para todos los matrimonios que cumplan 50 años de casados;100%;3;100%;3;7074-05;1;Otorga un bono a los cónyuges que cumplan cincuenta años de matrimonio.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7471&prmBoletin=7074-05;;;;1;Promulgado;1;;1;1;2;;;1;;3
142;Desarrollo Social;Bono bodas de oro;;;;100%;3;8443-05;;Antocipa el pago del bono de la ley N° 20506 , Bono Bodas de Oro, para los matrimonios que se indican.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8835&prmBoletin=8443-05;;;;1;Promulgado;1;;;;0;;;1;;3
143;Desarrollo Social;Fomento al empleo Part-time;Se promoverán los Empleos a Tiempo Parcial, con contrato simplificado, para adultos mayores que hayan jubilado y que quieran seguir trabajando en trabajos por horas o en media jornada;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
144;Transporte y Telecomunicaciones;Concesión portuaria;El transporte marítimo se impulsará con la política de concesiones portuarias;0%;1;;;;;;;;;;;;0;5;;;5;;;;;1
145;Economia y Comercio;Impulso a la industria del turismo;Se estimulará tributariamente a las pequeñas y medianas empresas del sector turismo;100%;2;;;7528-06;1;Fomenta el Mercado de Cruceros Turísticos.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7919&prmBoletin=7528-06;;;;1;Promulgado;1;;;;0;;1;;;2
146;Economia y Comercio;Incentivo al empleo y capacitación en turismo ;Se flexibilizará la legislación para favorecer el empleo y capacitación del sector (Turismo);40%;4;;;8770-23;1;Adapta normas laborales al ámbito del turismo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9177&prmBoletin=8770-23;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
147;Vivienda y Urbanismo;Gobierno metropolitano;Para una mejor planificación urbana se creará una instancia administrativa de coordinación a nivel de áreas metropolitanas;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
148;Vivienda y Urbanismo;Reforma de gestión es pequeñas comunas;Se simplificará la planificación y la regulación en comunas pequeñas o con pocos habitantes;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
149;Vivienda y Urbanismo;Descentralización de la gestión urbana;Se perfeccionará la actual institucionalidad de los Ministerios de Obras Públicas, Transportes y Vivienda, para redefinir competencias con miras a una mayor coordinación y descentralización de sus roles en  materias urbanas. Asimismo, en su relación con las responsabilidades que competen a los municipios;70%;4;;;8493-14;1;Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14;;1;;;Segundo Tramite;0,7;4;1;;5;;;;1;4
150;Vivienda y Urbanismo;Aporte viales en nuevas edificaciones;Se enviará al Congreso un proyecto de ley sobre aportes viales, que deban soportar los proyectos de edificación;70%;4;;;8493-14;1;Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14;;1;;;Segundo Tramite;0,7;4;1;;5;;;;1;4
151;Vivienda y Urbanismo;Alianzas público-privadas para contrucción de espacios públicos;Se establecerán incentivos y mecanismos para alianzas público-privadas  que  permiten  a  las  empresas  participar  en la  construcción espacios públicos urbanos y recuperación de riveras, bordes costeros a lo largo de ríos, lagos y playas;0%;1;;;;;;;;;;;;0;4;1;;5;;;;;1
152;Seguridad;Tribunales Vecinales;Creación de Tribunales Vecinales para facilitar el acceso a la justicia. Estableceremos gradualmente en la mayoría de las comunas del país estos tribunales;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
153;Justicia y DDHH;Reforma al codigo penal;Debemos emprender diversas modificaciones de nuestro Código Penal y ajustar la legislación interna al derecho humanitario convencional;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
154;Cultura y patrimonio;Fomento a la lectura escolar;Daremos especial énfasis al desarrollo de un Plan Nacional de Fomento a la Lectura en las escuelas y colegios del país;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
155;Cultura y patrimonio;Recuperación del patrimonio cultural arquitectonico;Diseñaremos un Plan de Recuperación del Patrimonio Cultural Arquitectónico, poniendo especial acento en aquellos lugares que son de importancia turística;70%;2;;;7761-24;1;Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8¡ de la ley N¡ 18.985;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24;;1;;;Segundo Tramite;0,7;3;25;;28;;1;;;2
156;Vivienda y Urbanismo;Fortalecimiento de la participación ciudadana en la gestión urbana;Fortaleceremos la participación ciudadana en la planificación urbana, tanto para opinar respecto de las iniciativas que emanan de la autoridad como también para proponer iniciativas ciudadanas;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
;;;;37%;2,3;;;;80;;;;;;;;;317;592;63;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
