uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_nota,ja_porque,jn_porque
103,Trabajo y previsión social,Modificación al sistema de pensiones,"Proponemos fomentar la participación voluntaria de las AFP en un nuevo sistema común de recaudación y cobranza de cotizaciones, licitado a un operador privado, como el que ya existe en otros países",0%,1,,,,"Modifica el sistema de pensiones, creando un sistema común de recaudacion y cobranza de cotizaciones",,,,,,,,,,,,0,,,,0,,,,,1,,,
34,Transporte y Telecomunicaciones,Concesión portuaria,El transporte marítimo se impulsará con la política de concesiones portuarias,0%,1,,,,Sobre la política de concesiones portuarias,,,,,,,,,,,,0,,,,0,,,,,1,,,
35,Transporte y Telecomunicaciones,Superintendencia de telecomunicaciones,"Se creará una superintendencia de Telecomunicaciones, que se hará cargo de la fiscalización del sector",40%,4,,,8034-15,Crea la Superintendencia de Telecomunicaciones,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,
39,Transporte y Telecomunicaciones,Perfeccionamiento del sistema de concesión radioeléctrico,"Se perfeccionará el sistema de concesiones y permisos radioelectricos, eliminando trámites burocráticos, flexibilizando el uso, y promoviendo una mejor asignación de los recursos",100%,3,100%,3,7617-15,Modifica la Ley General de Telecomunicaciones derogando el derecho preferente a que se refiere el artículo 13 C),https://www.camara.cl/pley/pley_detalle.aspx?prmID=8013&prmBoletin=7617-15,,,,,,,,1,,Promulgado,1,3,,,3,,,1,,3,,,
39,Transporte y Telecomunicaciones,Perfeccionamiento del sistema de concesión radioeléctrico,,,,100%,3,7931-15,Relativo al fortalecimiento de la radiodifusión regional y local,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8324&prmBoletin=7931-15,,,,,,,,1,,Promulgado,1,4,,,4,,,1,,3,,,
41,Transporte y Telecomunicaciones,Portabilidad númerica,"Se implementará la portabilidad del número telefónico, tanto para el servicio de telefonía local como para el servicio de telefonía móvil",100%,4,,,6964-15,Crea un Organismo Administrador para la Implementación de la portabilidad numúrica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7357&prmBoletin=6964-15,,,,,,,,1,,Promulgado,1,1,3,1,5,,,,1,4,,,
146,Transporte y Telecomunicaciones,Fomento de la Televisión digital,"Impulsaremos el desarrollo de la televisión digital, lo que nos permitirá enriquecer los contenidos y proyectos programáticos de calidad mediante la adjudicación transparente y competitiva de las nuevas señales",70%,3,,,6190-19,Permite la introducción de la televisión digital terrestre,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6579&prmBoletin=6190-19,,,,1,,,,,,Segundo Tramite,"0,7",10,22,,32,,,1,,3,,,
89,Vivienda y Urbanismo,Gobierno metropolitano,Para una mejor planificación urbana se creará una instancia administrativa de coordinación a nivel de áreas metropolitanas,0%,1,,,,Sobre la creación de instancia administrativa de coordinación,,,,,,,,,,,,0,,,,0,,,,,1,,,
91,Vivienda y Urbanismo,Reforma de gestión en pequeñas comunas,Se simplificará la planificación y la regulación en comunas pequeñas o con pocos habitantes,0%,1,,,,Relativo a la simplificación de planificacion y regulación de gestión de pequeñas comunas,,,,,,,,,,,,0,,,,0,,,,,1,,,
93,Vivienda y Urbanismo,Descentralización de la gestión urbana,"Se perfeccionará la actual institucionalidad de los Ministerios de Obras Públicas, Transportes y Vivienda, para redefinir competencias con miras a una mayor coordinación y descentralización de sus roles en  materias urbanas. Asimismo, en su relación con las responsabilidades que competen a los municipios",0%,1,,,,"Sobre el perfeccionamiento de la institucionalidad de MOP, Ministerior de Transportes y Vivienda",,,,,,,,,,,,0,,,,0,,,,,1,,,
95,Vivienda y Urbanismo,Aportes viales en nuevas edificaciones,"Se enviará al Congreso un proyecto de ley sobre aportes viales, que deban soportar los proyectos de edificación",0%,1,,,,Proyecto de ley sobre Aportes Viales ,,,,,,,,,,,,0,,,,0,,,,,1,,,
97,Vivienda y Urbanismo,Alianzas público-privadas para contrucción de espacios públicos,"Se establecerán incentivos y mecanismos para alianzas público-privadas  que  permiten  a  las  empresas  participar  en la  construcción espacios públicos urbanos y recuperación de riveras, bordes costeros a lo largo de ríos, lagos y playas",0%,1,,,,Relativo a la creación de incentivos y mecanismos para participación de empresas en mejoramiento de espacios públicos ,,,,,,,,,,,,0,,,,0,,,,,1,,,
99,Vivienda y Urbanismo,Fortalecimiento de la participación ciudadana en la gestión urbana,"Fortaleceremos la participación ciudadana en la planificación urbana, tanto para opinar respecto de las iniciativas que emanan de la autoridad como también para proponer iniciativas ciudadanas",0%,1,,,,Sobre la participación ciudadana en la planificación urbana,,,,,,,,,,,,0,,,,0,,,,,1,,,
,,,,26%,"2,0",,,,,,,,,,,,,,,,,204,305,56,565,,,,,,,,
