uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
84,Estado,Incentivo a funcionarios destacados,,,,100%,4,8447-04,Otorga a los funcionarios de la Junta Nacional de Jardines Infantiles condiciones especiales para la bonificación por retiro voluntario por el periodo que indica y una bonificación adicional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8845&prmBoletin=8447-04,,,,,,,,1,,Promulgado,1,4,1,,5,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
84,Estado,Incentivo a funcionarios destacados,,,,100%,4,8686-04,Otorga al personal asistente de la educación que indica una bonificación por retiro voluntario y una bonificación adicional por antigüedad y las compatibiliza con plazos de la ley N° 20.305,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9089&prmBoletin=8686-04,,,,,,,,1,,Promulgado,1,1,2,,3,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
84,Estado,Incentivo a funcionarios destacados,,,,100%,4,8706-05,"Otorga reajuste de remuneraciones a los trabajadores del sector público, concede aguinaldos, otros beneficios que indica y, modifica normas legales que señala.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9109&prmBoletin=8706-05,,,,,,,,1,,Promulgado,1,,,1,1,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
84,Estado,Incentivo a funcionarios destacados,,,,100%,4,8661-11,"Crea asignación asociada al mejoramiento de la calidad de trato al usuario, para los funcionarios regidos por el Estatuto de Atención Primaria de Salud Municipal.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9048&prmBoletin=8661-11,,,,,,,,1,,Promulgado,1,,1,4,5,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
84,Estado,Incentivo a funcionarios destacados,,,,100%,4,8660-11,"Que otorga asignación asociada al mejoramiento de trato a los usuarios, para los funcionarios pertenecientes a las plantas de técnicos, administrativos y auxiliares de los establecimientos de los servicios de salud.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9047&prmBoletin=8660-11,,,,,,,,1,,Promulgado,1,,1,4,5,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
85,Estado,Seguimiento a observaciones de Contraloría,Se implementará un conjunto de reformas que incluyen solicitar a la Contraloría General de la República la realización de un seguimiento por un período determinado a las observaciones que realiza,70%,4,,,9173-07,Procedimiento de toma de razón y registro electrónicos.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9588&prmBoletin=9173-07,,,,1,,,,,,Segundo Tramite,"0,7",,2,,2,,,,1,4,,Es una modernización a los trámites administrativos a través de procedimientos electrónicos,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
86,Estado,Extensión de la Alta dirección pública,Se profundizará la Alta Dirección Pública hasta el tercer nivel de la estructura,40%,4,,,9084-05,"Perfecciona la gestión en el sector público, mediante nuevas herramientas de gestión y el mejoramiento del Sistema de Alta Dirección Pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9486&prmBoletin=9084-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,,1,4,,El proyecto moderniza y amplía el sistema de Alta Dirección Pública,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
88,Estado,Subsecretaria de Comercio internacional,"Crearemos la Subsecretaria de Comercio Internacional en reemplazo de la Dirección General de Relaciones Económicas, DIRECON, considerando mayores espacios para el aporte del Servicio Exterior y las competencias específicas de su personal en este ámbito",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
109,Estado,Concurso público en gobiernos regionales y comunales,"Implementaremos  un Sistema de Alta Dirección Pública a nivel regional y comunal, que facilitará la selección de personal de excelencia en los gobiernos regionales y comunales",80%,4,90%,4,8210-06,Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06,,,,,,,1,,,Aprobación Presidencial,"0,9",8,20,2,30,,,,1,4,,Incorpora el sistema de Alta Dirección Pública en municipalidades y gobiernos regionales. Además se potencia a los gobiernos regionales con mayores atribuciones. ,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
109,Estado,Concurso público en gobiernos regionales y comunales,,,,70%,4,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",15,18,4,37,,,,1,4,,Incorpora el sistema de Alta Dirección Pública en municipalidades y gobiernos regionales. Además se potencia a los gobiernos regionales con mayores atribuciones. ,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
110,Estado,Traspaso de competencias a los gobiernos regionales,"Reordenamiento y traspaso de competencias, funciones y atribuciones (de los gobiernos regionales), además de la creación de áreas metropolitanas. Se realizará un catastro de competencias, distinguiendo dos categorías: las exclusivas y las compartidas",100%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,,,,,1,,Promulgado,1,18,15,4,37,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
111,Estado,Descentralización de la administración,"Se le otorgará reconocimiento legal al cargo de Administrador Regional que, al igual que el administrador municipal, colaborará con el intendente en la conducción ejecutiva del Gobierno Regional",70%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",18,15,4,37,,,,1,4,,Se le da mayores funciones y atribuciones al administrador regional,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
114,Estado,Fiscalización al gobierno municipal,"Someteremos a los alcaldes a un régimen de responsabilidad administrativa, correspondiendo a la Contraloría la realización de los sumarios respectivos, facultándola para aplicar multas u otras sanciones. De igual manera, perfeccionaremos el ejercicio de las acciones de fiscalización y de contratación de auditorías para los concejales",90%,1,,,8210-06,Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06,,,,,,,1,,,Aprobación Presidencial,"0,9",9,19,2,30,,,,,1,,Incluye a la Contraloría en el proceso de fiscalización municipal.,El proyecto de ley se encuentra en proceso de ser promulgado,No se conocen proyectos de ley asociados a esta promesa
115,Estado,Reforma al Fondo común Municipal,"El Fondo Común Municipal será rediseñado, pues es necesario que la distribución de los recursos se realice con un criterio objetivo de acuerdo a la vulnerabilidad de las comunas y que se generen incentivos para que los municipios fortalezcan sus fuentes de financiamiento propias",100%,4,,,7262-06,"Efectúa un aporte extraordinario al Fondo Común Municipal, y compensa menores ingresos de comunas afectadas por terremoto y maremoto del 27 de febrero de 2010.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7664&prmBoletin=7262-06,,,,,,,,1,,Promulgado,1,,3,1,4,,,,1,4,,Establece un aumento extraordinario al Fondo Común Municipal,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
116,Estado,Audiencias públicas,Se realizarán modificaciones legales que exijan efectuar una cantidad mínima de audiencias públicas al año,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
117,Estado,Democracia Tributaria,"Se establecerán bases para una mayor democracia tributaria, que entre otras materias, considerará que un contribuyente afecto al impuesto de primera categoría o al global complementario que realice donativos para el desarrollo local pueda recibir un incentivo tributario",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
120,Estado,Impuesto territorial,El Estado pagará impuesto territorial por todos sus bienes raíces,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,"Desde 2011 se considera una compensación por predios exentos para los municipios. Sin embargo, no se ha cumplido la promesa de establecimiento de impuesto territorial del Estado.",No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
122,Estado,Modificación al impuesto territorial,"En relación al impuesto territorial, introduciremos reformas para que los municipios tengan un mayor rol en su determinación y recaudación",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
124,Estado,Reforma al sistema administrativo del Estado,"Terminaremos con la duplicidad de funciones entre los distintos niveles de Gobierno, responsabilizando a los municipios por la producción de bienes y servicios locales. Se distinguirá entre municipios rurales, urbanos que administren sólo una ciudad y municipios urbanos pertenecientes a áreas metropolitanas. Según estos factores se otorgarán más o menos atribuciones en gestión de ciudad como, por ejemplo, tránsito, planificación urbana, inversión pública, entre otras",100%,2,,,9159-05,"Modifica ley N° 19.803, que establece una asignación de mejoramiento de la gestión municipal, para homologarla con la dispuesta en ley N° 19.553, que concede una asignación de modernización a la Administración Pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9568&prmBoletin=9159-05,,,,,,,,1,,Promulgado,1,,,,0,,1,,,2,,"El proyecto considera atribuciones a funcionarios públicos y al los gobiernos locales, pero deja de lago lo porincipal de la promesa, respecto a el término de la duplicidad de funciones",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
126,Estado,Reducción de la burocracia descentralizada,"Aliviar la burocracia en las regiones, para lo cual se modificará el rol del gobernador en las provincias",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
128,Estado,Probidad y Transparencia,"Dispondremos expresamente la aplicación de las normas sobre probidad administrativa a los intendentes y gobernadores, creando la figura de «notable abandono de deberes», lo que será sancionado con la remoción del cargo respectivo",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
129,Estado,Descentralización de los recursos,"Traspasaremos directamente los fondos sectoriales a los municipios, con reglas de inversión general y de acuerdo a lineamientos que fije el Gobierno Central. Se ajustará la legislación vigente en orden a que los municipios puedan efectivamente hacer uso del mandato que les entrega la Constitución en esta materia",100%,4,,,7262-06,"Efectúa un aporte extraordinario al Fondo Común Municipal, y compensa menores ingresos de comunas afectadas por terremoto y maremoto del 27 de febrero de 2010.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7664&prmBoletin=7262-06,,,,,,,,1,,Promulgado,1,,3,1,4,,,,1,4,,El proyecto mejora el fondo común municipal y el traspaso directo de recursos,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
138,Estado,Reforma en contrataciones de la administración local,"Se creará para el sector un sistema similar al de la Alta Dirección Pública, que atienda las necesidades de selección de personal por mérito en los gobiernos locales. Con esta  iniciativa,  los  cargos  municipales  serán  provistos  mediante concursos en los estamentos técnicos, profesionales y jefaturas",90%,4,,,8210-06,Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06,,,,,,,1,,,Aprobación Presidencial,"0,9",9,20,2,31,,,,1,4,,,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada
140,Estado,Concurso público de superintendentes,Los futuros superintendentes serán asignados por Alta Dirección Pública,70%,4,100%,4,7829-13,"Crea la Intendencia de Seguridad y Salud en el Trabajo, fortalece el rol de la Superintendencia de Seguridad Social y actualiza sus atribuciones y funciones.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8222&prmBoletin=7829-13,,,,,,,,1,,Promulgado,1,,28,,28,,,,1,4,,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
140,Estado,Concurso público de superintendentes,,,,40%,4,8041-04,Crea la Superintendencia de Educación Superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8447&prmBoletin=8041-04,1,,,,,,,,,Primer Tramite,"0,4",6,13,,19,,,,1,4,,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
140,Estado,Concurso público de superintendentes,,,,70%,4,8034-15,Crea la Superintendencia de Telecomunicaciones.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15,,,,1,,,,,,Segundo Tramite,"0,7",,5,,5,,,,1,4,,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
143,Estado,Reforma a la gestión de empresas públicas,"Las empresas públicas se regirán por las normas de las sociedades anónimas abiertas. La responsabilidad de la administración de las empresas públicas recaerá en su directorio, el cual deberá designar al gerente general",40%,1,,,9083-05,Introduce perfeccionamientos en los regímenes de gobierno corporativo de las empresas del Estado y de aquellas en que éste tenga participación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9487&prmBoletin=9083-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
144,Estado,Perfeccionamiento de la Contraloría general de la República,"Se propondrán reformas para mejorar (en relación a Contraloría) el proceso de toma de razón, el rol de juez de cuentas y el control ex post. Lo anterior irá acompañado de políticas para mejorar la capacitación y los incentivos para su personal",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
80,Justicia y DDHH,Creación del Banco de Datos delictual,"Se creará un Banco de Datos Delictual, que entregue más y mejor información acerca de las principales estadísticas delictuales, evaluaciones y presupuestos. Se establecerá un sistema de información que mantenga en red a todas las instituciones involucradas en el ámbito de la seguridad, que contará con información relativa al historial de los delincuentes, incluyendo su ADN y otros antecedentes",100%,4,,,7408-07,Crea el Registro Nacional de Prófugos de la Justicia.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7796&prmBoletin=7408-07,,,,,,,,1,,Promulgado,1,,20,,20,,,,1,4,,Crea un registro público con las personas prófugas de la justicia y se crea un banco de datos delictual para que se compartan datos entre instituciones públicas.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
119,Justicia y DDHH,Bono de asistencia judicial,"Se entregará un «Bono de Asistencia Jurídica», en régimen de gratuidad o copago, para que las personas de menores recursos puedan contratar servicios legales libremente",100%,3,,,5408-07,Establece la obligación de otorgar defensa penal y asesoría jurídica a las personas naturales que han sido víctimas de delitos y que no pueden procurárselas por sí mismas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5793&prmBoletin=5408-07,,,,,,,,1,,Promulgado,1,3,7,,10,,,1,,3,,"Aunque no terminó siendo un bono, hubo una reforma constitucional en esta materia, pero que no permite que la persona elija los servicios que quiera contratar.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
123,Justicia y DDHH,Desjudicialización de la cobranza,"Desjudicialización de la cobranza. Para ello se establecerá un procedimiento administrativo, limitando la posibilidad de oposición por parte del deudor en caso que exista un documento fehaciente que compruebe la deuda y el no pago",40%,4,,,8197-07,Establece el nuevo Código Procesal Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8596&prmBoletin=8197-07,1,,,,,,,,,Primer Tramite,"0,4",20,3,,23,,,,1,4,,Se desjudializa los cobros para descongestionar el sistema judicial. Establece un procedimiento para que las partes puedan llegar a acuerdo.,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
125,Justicia y DDHH,Reforma al sistema judicial civil,"Impulsaremos una reforma a la justicia civil para que ésta, que representa cerca del 60% del trabajo judicial, sea capaz de responder a los desafíos del siglo XXI siendo más oportuna y eficaz en el cumplimiento de su trascendental rol",40%,4,,,8197-07,Establece el nuevo Código Procesal Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8596&prmBoletin=8197-07,1,,,,,,,,,Primer Tramite,"0,4",20,3,,23,,,,1,4,,Se menciona explicitamente la creacion de un nuevo Código Procesal Civil,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
127,Justicia y DDHH,Modernización del sistema notarial,"Modernizaremos el sistema notarial y registral del país, disminuyendo los tiempos de atención y crearemos una base de datos unificada a nivel nacional",40%,"3,5",40%,3,9059-07,Moderniza y fortalece el funcionamiento y la fiscalización del sistema registral y notarial.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9466&prmBoletin=9059-07,1,,,,,,,,,Primer Tramite,"0,4",,4,,4,,,1,,3,,"Crea un registro electrónico para notarios y conservadores e incorpora la firma electrónica. Sin embargo, no establece que cuando haya costos excesivos las personas puedan acudir al SERNAC","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
127,Justicia y DDHH,Modernización del sistema notarial,,,,40%,4,8673-07,Modifica régimen de nombramiento y funciones del sistema notarial y registral.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9072&prmBoletin=8673-07,1,,,,,,,,,Primer Tramite,"0,4",1,8,,9,,,,1,4,,"Al igual que el Boletín 9059 el proyecto mejora los sistemas de archivado incorporando la tecnología y firma electrónica. Sin embargo, tampoco establece mecanismos de fiscalización, ni menciona al SERNAC","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
145,Justicia y DDHH,Reforma al codigo penal,Debemos emprender diversas modificaciones de nuestro Código Penal y ajustar la legislación interna al derecho humanitario convencional,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
147,Medio Ambiente,Impuesto a la contaminación,"Profundizaremos el principio «el que contamina paga», incluyendo a todos los sectores de la actividad productiva del país, avanzando en la determinación de la línea base país, eliminando asimetrías, reforzando el derecho de propiedad, y reafirmando la certeza jurídica",40%,4,,,9094-12,"Establece marco para la gestión de residuos y, responsabilidad extendida del productor.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9501&prmBoletin=9094-12,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"Incluye todas las consideraciones del poryecto de ley asociados al que ""contamina paga"".",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
149,Medio Ambiente,Incentivar el uso de energías renovables no convencionales,"Corregiremos las distorsiones tributarias que desincentivan el uso de combustibles limpios y la reducción de emisiones. Incentivaremos las Energías Renovables no Convencionales (ERNC) y la Eficiencia Energética (EE), a través de la entrega de instrumentos financieros a las empresas para que desarrollen estas tecnologías ",100%,3,,,7201-08,"Propicia la ampliación de la matriz energética, mediante fuentes renovables no convencionales.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7600&prmBoletin=7201-08,,,,,,,,1,,Promulgado,1,2,,3,5,,,1,,3,,"El proyecto contempla el fomento a la ERNC, pero no establece incentivos tributarios para esto",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
151,Medio Ambiente,Fomentar el cuidado al medio ambiente,"Fomentaremos políticas de reciclaje, descontaminación y rehabilitación de áreas degradadas, estableciendo mecanismos que motiven a los ciudadanos, municipios y empresas a tomar acciones en este sentido",40%,4,,,9094-12,"Establece marco para la gestión de residuos y, responsabilidad extendida del productor.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9501&prmBoletin=9094-12,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,El proyecto establece un fomento al reciclaje por parte de los consumidores,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
152,Medio Ambiente,Promoción de combustibles limpios,"Estableceremos mecanismos que permitan a la población más vulnerable acceder a fuentes de energía más limpia, fomentando el uso de la leña seca en el sur del país, y mejorando los estándares ambientales y energéticos de las estufas y cocinas a leña",100%,4,,,7141-08,Regula la certificación de los artefactos para combustibles de leña y otros productos dendroenergéticos.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7534&prmBoletin=7141-08,,,,,,,,1,,Promulgado,1,2,12,,14,,,,1,4,,El proyecto de ley fomenta fuentes de energía más limpias considerando la contaminación de la leña y opciones para sustiturla por tipos de engergías más limpias.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
157,Medio Ambiente,Servicio de parques y Biodiversidad,"Instauraremos un «Servicio de Parques y Biodiversidad», mediante el cual pondremos en marcha una verdadera política para la protección de los recursos naturales y la biodiversidad. Esta institución fomentará la creación y mantención de las áreas protegidas estatales y privadas, tanto terrestres como marinas",40%,4,,,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",11,,,11,,,,1,4,,"Crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas, tiende al cumplimiento de esta promesa",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
158,Medio Ambiente,Incentivos a la conservación de áreas silvestres protegidas,Incentivaremos la incorporación de privados por medio de beneficios tributarios para la conservación de Áreas Silvestres Protegidas Privadas,40%,2,,,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",11,,,11,,1,,,2,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
159,Medio Ambiente,Perfeccionamiento de la ley del bosque nativo,"Perfeccionaremos los mecanismos existentes en la Ley de Bosque Nativo, para fomentar la recuperación de los bosques degradados, con especial énfasis en pequeños y medianos propietarios de suelos forestales",70%,4,,,8603-01,Fomento Forestal que modifica y extiende el DL N° 701.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9002&prmBoletin=8603-01,,,,1,,,,,,Segundo Tramite,"0,7",2,17,,19,,,,1,4,,El proyecto menciona la protección del boque nativo e incentivos para pequeños empresarios,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
160,Medio Ambiente,Ampliación de participación ciudadana en temas medioambientales,"Mejoraremos el sistema de participación ciudadana en la calificación ambiental de proyectos a través de, entre otros mecanismos, la creación de sistemas que favorezcan los acuerdos entre las partes involucradas mediante mecanismos de mediación y conciliación",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
161,Medio Ambiente,Tribunal Ambiental,"Implementaremos el Tribunal Ambiental, con competencias y facultades para conocer los conflictos, resolverlos adecuada y oportunamente",100%,4,,,6747-12,Crea el Tribunal Ambiental .,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7144&prmBoletin=6747-12,,,,,,,,1,,Promulgado,1,7,26,2,35,,,,1,4,,"El proyecto de ley boletín 6747, que crea el Tribunal Ambiental, se encuentra promulgado y posee una coherencia total",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
43,Minería ,Incentivo a la investigación cientifica,"Se  perfeccionarán  los  incentivos  tributarios  a  fin  de  lograr más investigación y desarrollo en el sector, permitiendo además que el crédito tributario para este efecto se otorgue también a la investigación desarrollada dentro de las empresas",100%,3,,,7503-19,"Modifica ley N° 20.241, que establece un incentivo tributario, a la inversión privada en investigación y desarrollo",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7871&prmBoletin=7503-19,,,,,,,,1,,Promulgado,1,4,11,2,17,,,1,,3,,"El proyecto establece incentivos tributarios y de créditos en investigación y desarrollo. Sin embargo, no habla del sector minero en específico",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
